Run,N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time
200,1000,50,16,1.693469209s,693.771403ms,641.935151ms
201,1000,100,2,1.76426977s,997.067754ms,1.046744388s
202,1000,100,2,1.726019914s,974.233936ms,1.003511769s
203,1000,100,2,1.710468828s,963.282636ms,953.543496ms
204,1000,100,2,1.709482242s,958.896098ms,968.394909ms
205,1000,100,2,1.846074688s,970.712471ms,989.32447ms
206,1000,100,2,1.791011459s,1.051940116s,942.727268ms
207,1000,100,2,1.814083155s,972.753665ms,1.008147917s
208,1000,100,2,1.854614761s,1.004629415s,947.397408ms
209,1000,100,2,1.753314392s,956.071499ms,1.002459794s
210,1000,100,2,1.750668267s,957.041067ms,940.861392ms
211,1000,100,2,1.776776325s,943.658208ms,955.119455ms
212,1000,100,2,1.752504153s,986.877668ms,986.341773ms
213,1000,100,2,1.727717174s,1.014587922s,1.006797428s
214,1000,100,2,1.716172552s,973.032634ms,964.814866ms
215,1000,100,2,1.711792345s,958.70072ms,982.481615ms
216,1000,100,2,1.714742503s,1.019986951s,952.6401ms
217,1000,100,2,1.755441527s,937.937179ms,1.042325346s
218,1000,100,2,1.747890085s,967.216361ms,965.199583ms
219,1000,100,2,1.846822597s,1.086038248s,1.0819561s
220,1000,100,2,1.860740923s,1.010815232s,1.019149258s
221,1000,100,2,1.743580591s,1.002419566s,1.053666608s
222,1000,100,2,1.768537651s,992.564969ms,942.528501ms
223,1000,100,2,1.765619226s,964.138422ms,1.034856455s
224,1000,100,2,1.799521922s,1.003654686s,1.014721281s
225,1000,100,2,1.741274983s,1.028035923s,1.079863158s
226,1000,100,2,1.736542617s,971.339782ms,975.67358ms
227,1000,100,2,1.743469747s,949.108435ms,956.425535ms
228,1000,100,2,1.723481847s,967.791379ms,962.154414ms
229,1000,100,2,1.712111691s,1.09059659s,980.109113ms
230,1000,100,2,1.71494774s,998.163619ms,1.077939685s
231,1000,100,2,1.718948673s,998.107491ms,986.82561ms
232,1000,100,2,1.702692667s,984.598529ms,1.010522052s
233,1000,100,2,1.732800909s,990.863449ms,1.025702475s
234,1000,100,2,1.755219354s,980.657283ms,997.505742ms
235,1000,100,2,1.708476485s,942.310411ms,977.851465ms
236,1000,100,2,1.727966458s,967.420499ms,961.585449ms
237,1000,100,2,1.729289781s,1.012107965s,992.193337ms
238,1000,100,2,1.767577751s,958.570346ms,990.396945ms
239,1000,100,2,1.777490003s,1.086162509s,984.509014ms
240,1000,100,2,1.72104024s,956.261081ms,1.09348716s
241,1000,100,2,1.714734603s,986.843077ms,966.515887ms
242,1000,100,2,1.743981694s,996.480339ms,1.030507495s
243,1000,100,2,1.729555934s,1.007845411s,997.478251ms
244,1000,100,2,1.736285007s,975.742734ms,976.14452ms
245,1000,100,2,1.715796814s,1.014984653s,964.459083ms
246,1000,100,2,1.723548566s,1.096235084s,962.603673ms
247,1000,100,2,1.71131308s,1.027790916s,1.021640134s
248,1000,100,2,1.706639399s,1.036671791s,1.016768549s
249,1000,100,2,1.71602226s,999.8325ms,1.184448543s
250,1000,100,2,1.693469209s,1.070022889s,1.018184732s
251,1000,100,4,1.76426977s,689.128371ms,783.065396ms
252,1000,100,4,1.726019914s,782.725011ms,873.547302ms
253,1000,100,4,1.710468828s,720.160618ms,843.738773ms
254,1000,100,4,1.709482242s,745.961954ms,702.437905ms
255,1000,100,4,1.846074688s,728.301051ms,810.84852ms
256,1000,100,4,1.791011459s,754.659697ms,649.483378ms
257,1000,100,4,1.814083155s,725.839138ms,659.056773ms
258,1000,100,4,1.854614761s,752.620875ms,627.111177ms
259,1000,100,4,1.753314392s,737.713757ms,603.384348ms
260,1000,100,4,1.750668267s,728.409597ms,676.244232ms
261,1000,100,4,1.776776325s,773.771487ms,667.281029ms
262,1000,100,4,1.752504153s,716.680868ms,686.082151ms
263,1000,100,4,1.727717174s,721.604251ms,658.419713ms
264,1000,100,4,1.716172552s,708.327563ms,659.454721ms
265,1000,100,4,1.711792345s,721.968067ms,678.528975ms
266,1000,100,4,1.714742503s,731.924285ms,675.525867ms
267,1000,100,4,1.755441527s,682.290529ms,716.699124ms
268,1000,100,4,1.747890085s,734.226074ms,585.653338ms
269,1000,100,4,1.846822597s,722.011859ms,624.395813ms
270,1000,100,4,1.860740923s,709.999576ms,674.280139ms
271,1000,100,4,1.743580591s,714.946048ms,755.296304ms
272,1000,100,4,1.768537651s,698.994574ms,634.411798ms
273,1000,100,4,1.765619226s,733.044924ms,723.583138ms
274,1000,100,4,1.799521922s,699.46905ms,676.726445ms
275,1000,100,4,1.741274983s,741.662235ms,661.106479ms
276,1000,100,4,1.736542617s,683.375326ms,710.462624ms
277,1000,100,4,1.743469747s,739.597446ms,665.441712ms
278,1000,100,4,1.723481847s,730.676856ms,702.026255ms
279,1000,100,4,1.712111691s,729.121311ms,627.727054ms
280,1000,100,4,1.71494774s,716.130026ms,644.731489ms
281,1000,100,4,1.718948673s,731.253022ms,632.451493ms
282,1000,100,4,1.702692667s,791.939215ms,684.459481ms
283,1000,100,4,1.732800909s,746.547325ms,706.398927ms
284,1000,100,4,1.755219354s,720.081366ms,677.420304ms
285,1000,100,4,1.708476485s,693.205852ms,706.004266ms
286,1000,100,4,1.727966458s,760.22549ms,757.768396ms
287,1000,100,4,1.729289781s,705.547192ms,672.744705ms
288,1000,100,4,1.767577751s,735.339418ms,697.566315ms
289,1000,100,4,1.777490003s,720.146113ms,677.223934ms
290,1000,100,4,1.72104024s,751.47194ms,705.363781ms
291,1000,100,4,1.714734603s,750.035087ms,626.210421ms
292,1000,100,4,1.743981694s,724.750837ms,647.703813ms
293,1000,100,4,1.729555934s,750.808635ms,684.477597ms
294,1000,100,4,1.736285007s,721.433627ms,726.310427ms
295,1000,100,4,1.715796814s,689.363921ms,677.119131ms
296,1000,100,4,1.723548566s,705.179307ms,722.442665ms
297,1000,100,4,1.71131308s,699.358854ms,643.809382ms
298,1000,100,4,1.706639399s,748.242215ms,633.101414ms
299,1000,100,4,1.71602226s,736.984037ms,792.033727ms
300,1000,100,4,1.693469209s,734.061022ms,728.538969ms
301,1000,100,8,1.76426977s,696.2228ms,769.401548ms
302,1000,100,8,1.726019914s,725.577096ms,610.471197ms
303,1000,100,8,1.710468828s,781.328568ms,633.400395ms
304,1000,100,8,1.709482242s,725.086573ms,708.278777ms
305,1000,100,8,1.846074688s,694.435499ms,718.703032ms
306,1000,100,8,1.791011459s,734.620088ms,656.35539ms
307,1000,100,8,1.814083155s,809.367716ms,631.254195ms
308,1000,100,8,1.854614761s,762.381736ms,740.033674ms
309,1000,100,8,1.753314392s,666.41317ms,677.819219ms
310,1000,100,8,1.750668267s,792.520349ms,697.683094ms
311,1000,100,8,1.776776325s,764.918169ms,659.052808ms
312,1000,100,8,1.752504153s,730.09964ms,732.51984ms
313,1000,100,8,1.727717174s,758.872406ms,658.328709ms
314,1000,100,8,1.716172552s,715.336811ms,730.339497ms
315,1000,100,8,1.711792345s,734.494127ms,701.915498ms
316,1000,100,8,1.714742503s,774.321164ms,711.456143ms
317,1000,100,8,1.755441527s,712.234104ms,634.227507ms
318,1000,100,8,1.747890085s,756.802935ms,761.934558ms
319,1000,100,8,1.846822597s,803.946933ms,669.969859ms
320,1000,100,8,1.860740923s,715.178342ms,744.432603ms
321,1000,100,8,1.743580591s,738.900043ms,716.129968ms
322,1000,100,8,1.768537651s,700.449218ms,672.082402ms
323,1000,100,8,1.765619226s,753.844183ms,665.408726ms
324,1000,100,8,1.799521922s,752.542489ms,670.786781ms
325,1000,100,8,1.741274983s,748.733169ms,684.928584ms
326,1000,100,8,1.736542617s,693.468091ms,738.537947ms
327,1000,100,8,1.743469747s,722.210908ms,699.428726ms
328,1000,100,8,1.723481847s,716.85492ms,718.719781ms
329,1000,100,8,1.712111691s,637.504601ms,729.279075ms
330,1000,100,8,1.71494774s,818.680718ms,713.993551ms
331,1000,100,8,1.718948673s,786.904197ms,721.394663ms
332,1000,100,8,1.702692667s,772.225495ms,715.508814ms
333,1000,100,8,1.732800909s,776.366287ms,687.896838ms
334,1000,100,8,1.755219354s,832.947184ms,683.460765ms
335,1000,100,8,1.708476485s,840.05639ms,839.286892ms
336,1000,100,8,1.727966458s,737.62702ms,756.318553ms
337,1000,100,8,1.729289781s,801.448922ms,768.657481ms
338,1000,100,8,1.767577751s,824.305128ms,804.974922ms
339,1000,100,8,1.777490003s,819.45572ms,741.389425ms
340,1000,100,8,1.72104024s,754.254055ms,836.360078ms
341,1000,100,8,1.714734603s,719.268939ms,651.181096ms
342,1000,100,8,1.743981694s,717.755511ms,690.015019ms
343,1000,100,8,1.729555934s,808.685168ms,680.129812ms
344,1000,100,8,1.736285007s,742.009942ms,723.919322ms
345,1000,100,8,1.715796814s,779.042894ms,663.110389ms
346,1000,100,8,1.723548566s,750.57788ms,675.856315ms
347,1000,100,8,1.71131308s,770.402477ms,657.990253ms
348,1000,100,8,1.706639399s,670.431171ms,698.114005ms
349,1000,100,8,1.71602226s,840.865285ms,696.96683ms
350,1000,100,8,1.693469209s,757.050175ms,785.128846ms
351,1000,100,16,1.76426977s,973.979856ms,906.498738ms
352,1000,100,16,1.726019914s,696.493041ms,702.393889ms
353,1000,100,16,1.710468828s,754.926414ms,673.709381ms
354,1000,100,16,1.709482242s,737.767401ms,678.486927ms
355,1000,100,16,1.846074688s,755.715153ms,671.033551ms
356,1000,100,16,1.791011459s,835.44734ms,879.260708ms
357,1000,100,16,1.814083155s,716.269593ms,711.071465ms
358,1000,100,16,1.854614761s,780.351217ms,751.638648ms
359,1000,100,16,1.753314392s,687.635297ms,794.731082ms
360,1000,100,16,1.750668267s,826.352824ms,679.40434ms
361,1000,100,16,1.776776325s,753.382642ms,883.533746ms
362,1000,100,16,1.752504153s,890.431962ms,784.309104ms
363,1000,100,16,1.727717174s,592.125898ms,632.708115ms
364,1000,100,16,1.716172552s,614.127603ms,621.054144ms
365,1000,100,16,1.711792345s,621.34332ms,635.30008ms
366,1000,100,16,1.714742503s,628.594482ms,587.171095ms
367,1000,100,16,1.755441527s,829.55303ms,662.755566ms
368,1000,100,16,1.747890085s,719.770514ms,854.739467ms
369,1000,100,16,1.846822597s,632.452829ms,776.093913ms
370,1000,100,16,1.860740923s,672.628369ms,671.462202ms
371,1000,100,16,1.743580591s,603.296576ms,646.922301ms
372,1000,100,16,1.768537651s,660.60235ms,655.56036ms
373,1000,100,16,1.765619226s,742.97479ms,658.988373ms
374,1000,100,16,1.799521922s,722.81883ms,628.749833ms
375,1000,100,16,1.741274983s,688.885011ms,630.941789ms
376,1000,100,16,1.736542617s,699.230566ms,621.311264ms
377,1000,100,16,1.743469747s,676.307307ms,587.91441ms
378,1000,100,16,1.723481847s,674.67484ms,638.874688ms
379,1000,100,16,1.712111691s,682.71561ms,690.427892ms
380,1000,100,16,1.71494774s,708.313059ms,649.679208ms
381,1000,100,16,1.718948673s,657.511991ms,639.634261ms
382,1000,100,16,1.702692667s,725.693245ms,703.610959ms
383,1000,100,16,1.732800909s,709.692401ms,625.224149ms
